,Seller,Product,Price,Quality,Likes,Comments,Category,Log Price,Log Likes
25,preorderkj,jbl reflect aware noise cancelling earphones lightning,99.0,1,3,JBL Reflect Aware Noise cancelling Earphones Lightning ($289.00)  NOW: $99.00 with FREE DELIVERY  (Limited Time ONLY)   PLS allow 5 working days to receive!!,audio_visual,4.605170185988092,1.3862943611198906
26,komalsg,canon laser printer mf,150.0,0,10,"Pick up 5 Delta Avenue (River Valley) As good as new.  4 months old printer. Retails at 350 SGD Model MF246DN Print, scan, copy, and fax. Double sided printing  Laser printer Touch screen display.  https://www.lazada.sg/products/canon-imageclass-mf246dn-mono-laser-aio-fax-i282465767-s448057047.html?",printers,5.017279836814924,2.3978952727983707
27,komalsg,canon laser printer mf,150.0,0,10,"Pick up 5 Delta Avenue (River Valley) As good as new.  4 months old printer. Retails at 350 SGD Model MF246DN Print, scan, copy, and fax. Double sided printing  Laser printer Touch screen display.  https://www.lazada.sg/products/canon-imageclass-mf246dn-mono-laser-aio-fax-i282465767-s448057047.html?",printers,5.017279836814924,2.3978952727983707
28,rocketeerhero,iblockcube® universal power strips 3 way outlets 6 3.1a usb ports w/surge protection socket switch portable charger 2m/6.5ft uk plug wall adapter cord w/fuse & shutter extension lead black-grey,40.0,1,2,"Note** it's a EU plug. but not confirmed, as it's sealed, refer last pic  iBlockCube® Universal Power Strips 3 Way Outlets 6 (3.1A) USB Ports w/Surge Protection Socket Switch Portable Charger 2M/6.5FT UK Plug Wall Adapter Cord w/Fuse & Shutter Extension Lead (Black-Grey)  2 Meters UK Outlets Power S",cables/adapters/switches,3.713572066704308,1.0986122886681098
29,chubbychipmunk,lg smart tv camera,12.0,0,23,LG SMART TV camera AN-VC500 With box. Cash when pickup,audio_visual,2.5649493574615367,3.1780538303479458
30,mrit.com.sg,256gb sandisk ultra microsdxc uhs -i card 100mb/s,53.0,1,3,"SanDisk Ultra microSDXC UHS -I Card 100MB/s 256GB  Brand New Add $4.50 for delivery (can bundle multiple items for 1 shipping cost)  Like what you see, check out all our IT Accessories and Gadgets at https://sg.carousell.com/mrit.com.sg.  Do check back again, we will be adding more products soon.   ",computers/parts,3.9889840465642745,1.3862943611198906
31,ando,asus p8z77-m pro motherboard intel z77 socket lga 1155 ddr3,80.0,0,2,"Used ASUS P8Z77-M PRO Motherboard Intel z77 Socket LGA 1155 DDR3  Should have an Intel I5 CPU inside, unfortunately totally forgot what's the model. (take it comes as free, including the CPU Fan)  Refer to the specification link below; https://www.asus.com/sg/Motherboards/P8Z77M_PRO/specifications/ ",cables/adapters/switches,4.394449154672439,1.0986122886681098
32,dipakdn900600,washing machine,100.0,0,5,"Good condition, can check before buying.",others,4.61512051684126,1.791759469228055
33,techcove,fitbit inspire hr black,109.0,1,13,"Fitbit Inspire HR
 
 ** Box a little dented, please see pictures **
 
 🌟 Brand New and Factory Sealed
 🌟 Set from USA
 🌟 30 day Seller's Warranty
 🚚 FREE Doorstep Delivery with tracking by Qxpress (2-3 working days) 
 
 Whats in the Package? 
 🔺 Fitbit Inspire HR
 🔺 Classic wristbands (both small & ",others,4.700480365792417,2.6390573296152584
34,deanzz,samsung ultra wqhd monitor,500.0,1,3,want to clear shift house,audio_visual,6.2166061010848646,1.3862943611198906
35,endigoro,jbl charge 3 bluetooth speaker,150.0,0,11,Only used for few days but like my harman kardon speaker more so selling this.,audio_visual,5.017279836814924,2.4849066497880004
36,reydonsilvers,18650 charger,5.0,1,4,"18650 battery charger. came with item i bought but i have my own charger.  **Due to the recent movement restrictions, will not be doing any meet ups at the moment. You may still put up offers so that I will be able to reserve the item for you if you are interested. Will be only able to arrange for m",keyboards/mouse/chargers,1.791759469228055,1.6094379124341003
37,j.builds,zotac gtx1080 mini,360.0,0,126,"Used Zotac GTX 1080  In good working condition   Pm me for more info, thanks!",computers/parts,5.8888779583328805,4.844187086458591
38,digikidsg,jelly comb 2.4ghz ultra slim full size rechargeable wireless keyboard,18.0,1,4,"Brand new in 📦  Retail Price: $69  Description: The ultra-slim Jelly Comb Wireless Keyboard is perfect for home office or workplace. Using advanced wireless 2.4GHz connectivity technology, you can easily connect the keyboard to your computer or laptop by plugging the nano-receiver into the USB port,",keyboards/mouse/chargers,2.9444389791664403,1.6094379124341003
39,everythingmen,apple watch series 5,500.0,0,8,Apple Watch series 5. 40mm GPS only. Bought for $600. Used for around 2 months. Perfect condition other than a small scratch on the side. Box included ,time,6.2166061010848646,2.1972245773362196
40,ando,sapphire radeon hd 7750 - 1gb,30.0,0,2,Sapphire RADEON HD 7750 - 1GB Working condition. Give you 3 day warrenty.  Refer for the specification https://www.cnet.com/products/sapphire-radeon-hd-7750-graphics-card-radeon-hd-7750-1-gb-112020020g/    ,computers/parts,3.4339872044851463,1.0986122886681098
41,sinsengcomponents,hikvision 2mp network poe ip camera with built-in-micro sd card slot cctv camera with 2.8mm wide angle fixed lens order model•ds-2cd2121g0-i/2.8,39.0,1,8,"About Us Established since 1971, Sinseng Components Pte Ltd is  Importer/Exporter/Distributor/Wholesaler of Security Surveillance CCTV Camera/Wireless IP Camera/Solar IP Camera System: Our Wide-Range of Brands & Products includes: •House Brand 7-STAR* Distributor: •Authorised VSTARCAM Distributor: •",computers/parts,3.6888794541139363,2.1972245773362196
42,zenmatcha,asus rt-ac5300 gaming router,260.0,0,8,"Working well, no warranty, no box",others,5.564520407322694,2.1972245773362196
43,vincentkevinee,tube pre amp,250.0,0,31,"item sold as it is ( unable to test as I dom""t have power amp)",audio_visual,5.5254529391317835,3.4657359027997265
44,uslife,"originalsony wireless bluetooth in ear headphones: noise cancelling sports  - cordless, sweatproof sport earphones, built-in microphone, extra bass – blue / black wf-sp700n/l",135.0,1,25,Original Sony. come with all accessories. New but no box.,audio_visual,4.912654885736052,3.258096538021482
45,lee666,sony wf-1000xm3 bought from challenger last year september,180.0,0,16,"Seldom use, in good condition 9/10, any negotiation please pm me.",others,5.198497031265826,2.833213344056216
46,ss1417,lenovo t440p  i5,250.0,0,22,"Lenovo T440p Core i5 - 4th Gen 8 GB RAM 500 GB HDD, DVD Drive Battry in good Condition light weight and durable Comes with Adapter Windows 10 Pro and MS Office 2019 Pro",others,5.5254529391317835,3.1354942159291497
47,madcow_gov_reg_t05ll0790c,"nzxt h1 mini itx matte black edition...1y, or walk in for offer rate...""ask"". want offer price.. pls walk in direct. 100 new ""wholesales/retailer"". offer till xxxx  tag razer z390 b450m b450 x570 asus fiddo g29 car msi 3950x rtx 2080 ti 3900x ,",527.0,1,5,"https://www.youtube.com/watch?v=dzHtWZ-_KYU&feature=youtu.be&fbclid=IwAR3X0IhjDPef53nVJSwnvXct3X7PCtNxgIhUHUpFVia3V8Fx0cuVEiWwIYY (Smallest Case) Need Mac or PC, Laptop Repair...!!!  Bring to 39A Jalan pemimpin,halcyon bldg #07-07 577183 Tonite, https://www.youtube.com/watch?v=w-XvV4_2AXo (Insist on",covers/cases,6.269096283706261,1.791759469228055
48,tchuanhock8,usb a/b digital audio dac interconnect cable,39.0,1,5,USB A/B Digital Audio DAC Interconnect Streaming Cable  Hand Audio local hand crafted design with Europe ultra high purity 99.99%OFC conductors wires highly shielded excellent rejection of RF/EMI noise  Sleeve with protection jacket  Shielded USB connectors  Version 2.0 Triple electro magnetic scree,cables/adapters/switches,3.6888794541139363,1.791759469228055
49,jamz.ajee,hd dual lens car camera,40.0,1,2,BNIB 1080P Dual Lens Car Camera,audio_visual,3.713572066704308,1.0986122886681098
50,fatzywee,dual monitor vesa stand,60.0,0,2,Dual Monitor Vesa Stand Compatible with 17 to 27 inches monitor with M3 bolts and washers Good condition  Can Trade with GPU,audio_visual,4.110873864173311,1.0986122886681098
51,harvestlee,universal battery voltage tester,5.0,1,12,Free Normal Mail   Easy-to-read colour-coded scales indicate the power level Can quickly test the capacity of your battery Compact size and lightweight Test multiple sizes of batteries in one unit The perfect companion for travel One movable arm to accommodate the battery Two buttons on the side for,remotes/batteries,1.791759469228055,2.5649493574615367
52,zhumeng0331,huawei freebuds 3,170.0,1,3,Audio,others,5.14166355650266,1.3862943611198906
53,digi-otaku,coiled type c to usb cable,45.0,1,10,Type C for 1 side Usb type A for 1side 1meter long  Item is brand new,cables/adapters/switches,3.828641396489095,2.3978952727983707
54,nicholas.tee,fiio k5 pro dac amp desktop audio amplifier,220.0,0,19,Selling an almost brand new Fiio K5 pro dac amp. Bought 2 months ago to complement my other amps but barely used. In pristine working condition. The original packaging box has a slight dent at the corner.  Further information: https://www.fiio.com/k5pro,audio_visual,5.3981627015177525,2.995732273553991
55,hydratoraudio,behringer c-2 matched studio condenser microphones,79.0,1,50,"2 matched condenser microphones for stereo studio recording and live applications
 Ideal as main and support microphones for studio and live applications
 Cardioid pickup pattern for effective feedback elimination
 Low-mass diaphragm for ultra-wide frequency response and ultimate sound reproduction
",audio_visual,4.382026634673881,3.9318256327243257
56,zengbin0306,lenovo thinkpad x230,229.0,0,8,"Intel Core i5 -3320M , 3rd Generation, 4G ram, 320GB storage , 12.5 inch ,HD camera,WIFI , Windows 10 pro. Battery in good condition, life 2-3 Hrs. Come with original charger. No any tiny issue at all. Working perfectly and never be fixed/ repaired. Firm Firm on price.",computers/parts,5.438079308923196,2.1972245773362196
57,bloberme,"bravedge mini multi tool pliers, pocket multi-purpose knife, folding keychain tool with saw, screwdriver, bottle opener, carabiner, portable stainless steel edc tool for camping, survival, diy",32.0,1,13,"★【7 in 1 Multi-tool Pliers】- The Pliers is equipped with 7 functions, including Needle-Nose Plier, Standard Pliers, Cable Cutter, Saw, knife, Bottle Opener, keychain so that it could work on different situations. ★【Durable material】- The main part of the pliers adopts durable stainless steel materia",others,3.4965075614664802,2.6390573296152584
58,branwong,"15 pcs soldering kit with stand, 60w adjustable temperature, desoldering pump, wire cutter and carrying case",19.9,1,28,Others,covers/cases,3.039749158970765,3.367295829986474
59,t258jgn,read the descriptions asrock deskmini a300 amd ryzen 3400g small form factor mini pc barebone bundle ryzen asrock crucial adata samsung noctua id-cooling,820.0,1,162,"👍👍 CASH / BANK TRANSFER / PAYNOW / PAYLAH PAYMENTS ONLY 👍👍 
 ⛔❌NO CAROUPAY & CARDS PAYMENTS ❌⛔ 
 
 PLEASE SCROLL DOWN & READ THE DESCRIPTIONS BELOW!
 
 
 AMD RYZEN 3000 DESKTOP READY printed on the box. (See 4th picture) 
 
 SAME SIZE AS NORMAL PC ATX POWER SUPPLY 
 
 SLIGHTLY BIGGER THAN YOUR PALM ",computers/parts,6.710523109452428,5.093750200806762
60,xtremepc,promo ryzen 5 3600 + gtx 1070ti + b450 + 8gb ram + 240gb ssd gaming desktop pc,1025.0,1,10,"!!GTX 1070Ti Gaming PC!!   **Better Performance than AMD RX590 in any games**  Whilst stocks last. Best deal in town!. Enjoy free delivery islandwide, you just need to wait in the comfort of your own home while we work on your dream rig!. 😎  !!Please Read!! ________________________ * Trade-in your o",computers/parts,6.933423025730715,2.3978952727983707
61,newchapters.,led snapback baseball caps super stylish and cool 3 light mode,12.5,1,164,"Ideal for parties, concerts, events and clubs! Ideal for family outings with your kids and children! 3 light mode: fast, flicker and slow! Features: 1.suitable for Hip-hop,baseball and other activities. 2.LED Light makes your more different and catch peoples eyes. 3.Scientific design,2 switches,one ",lights,2.6026896854443837,5.10594547390058
62,jhonlittle315,dell e6230,180.0,0,4,"DELL LATITUDE E6230, CORE i5-3340, 3RD GEN, 4 GB RAM, 500 GB HDD, 12.5 INCH DISPLAY, 2.6GHz, WINDOWS 10 INSTALLED, GOOD CONDITION,  FREE BAG & CHARGER, (REFURBISHED),",others,5.198497031265826,1.6094379124341003
63,newchapters.,electric engraving tool machine diy gifts and present,8.0,1,169,"Engrave and DIY your own gifts! 
 Features: Everlasting message on gifts and trophies. Portable size, easy to carry and use. Security identification on valuable appliance. It is a good tool for you to DIY the special gift for your lover, friends, family etc. Application: metal, stone, glass, wood. A",others,2.1972245773362196,5.135798437050262
64,newchapters.,"usb air ionic purifier ionizer car, home, office and laptop clean haze air",8.5,1,163,"Enhance your children, kids and family health and well being with this gadget!  -keep your car air clean!  Description : This is a USB  ionizer, emitting healthy negative ions into the air by carbon fiber brush system, effectively remove the air of smoke, dust, allergen, refresh the air. Small and f",air,2.2512917986064953,5.099866427824199
65,tchuanhock8,usb a / micro usb digital audio dac cable,39.0,1,4,USB A / Micro USB Digital Audio DAC Streaming Cable Hand Audio local hand crafted design with Europe ultra high purity 99.99%OFC conductors wires  Highly shielded excellent rejection of RF/EMI noise  Sleeve with protection jacket  50cm in length  Triple Electro magnetic screen   Postage Singapore Po,cables/adapters/switches,3.6888794541139363,1.6094379124341003
66,deptrai.xx,offerapple airpod gen 2 free lv case,98.0,1,22," 1. Air-pods 2.0 has four more functions than airpods 1.0 -- 1) wireless charging function, 2) in ear detection, 3) rename, 4) GPS. (in ear detection --  take out the earphones from your ear, music will stops automatically; put the earphones back to your ear, music automatically play.)    Features: ",covers/cases,4.59511985013459,3.1354942159291497
67,momoforyou,hari raya special: 5050/ 2835 rgb led lights with light bar set-epoxy waterproof colorful discoloration led lights -12v infrared remote control 44 keyboard led light fixture with light bar set,21.0,1,29,"Hari Raya Special!  LED lights to brighten your house!  Length: 5 meters  # 2835 ：21 SGD 44 keyboard LED light fixture with light bar set - waterproof (seven-color light)   # 5050 ：29.5 SGD  44 keyboard LED light fiture with light bar set - not waterproof (monochromatic light, seven-color light)    ",keyboards/mouse/chargers,3.091042453358316,3.4011973816621555
68,newchapters.,bluetooth usb dongle for all electronic products version 2 and 4 available,8.5,1,162,"V2.0 is $8.50 V4.0 is $10.50  Specification: - Bluetooth specification V2.0 Compliant - Supporting profiles : Networking, Dial-up Fax, LAN access and Headset - Operating system: Win 98, 98se, Me, 2000, XP, Vista, Win 7 - Interface: USB compliance - Symbol rate: 3Mbps - Receiving/Sending range : 0-10",others,2.2512917986064953,5.093750200806762
69,newchapters.,mp3 player with clip stylish and sleek for sports and daily use,8.5,1,171,"This stylish MP3 player will be accompanying you throughout when you are exercising, going to work and going home from a party!   +earpiece:$2 +charger: $1.50  Support 2/4/8/16GB Micro SD/TF card Memories  (not included) Plays mp3 music. Simply copy/paste the mp3 files from your PC to the MP3 player",audio_visual,2.2512917986064953,5.147494476813453
70,newchapters.,laptop cooling fan foldable stand for gaming and working laptop cooler pad stylish,11.0,1,186,"Stylish and sleek! Foldable and portable! Ideal for gaming laptop and working laptop! Can be used as stand! Prevent your gaming laptop from heating up so that you can played and enjoy your game longer!  Features: 1. USB powered cooling pad for laptops, netbooks, tablet PCs etc where USB powered cool",air,2.4849066497880004,5.231108616854587
71,newchapters.,"camera lens, watch, laptop cleaner set ideal for business and personal use",9.0,1,162,"-Very versatile cleaning set for camera lens, watches, laptops, electronics and Gadgets! -For business and personal use!  Suitable for: Camera, Videos, Lenses, CCD and other optics.  1. Lens Cleaning Pen Brush  Safe for all lenses,inclunding multi-coated surfaces.  Unique cleaning compound will not ",others,2.302585092994046,5.093750200806762
72,newchapters.,telescopic magnetic led light extendable flexible torchlight pick up tool,10.0,1,125,"Ideal when you want to pick things up from the car edge and the seat! Prevent wasting hours and energy taking keys and items from the side of the car! Multipurpose to search in tight corners or holes! Find your metal screws, bolts and other small items with ease!  Features: Telescoping Torch LED Mag",lights,2.3978952727983707,4.836281906951478
73,newchapters.,telescopic magnetic led light extendable flexible torchlight pick up tool,11.5,1,127,"Ideal when you want to pick things up from the car edge and the seat! Prevent wasting hours and energy taking keys and items from the side of the car! Multipurpose to search in tight corners or holes! Find your metal screws, bolts and other small items with ease!  Features: 1. This Flexible Torch is",lights,2.5257286443082556,4.852030263919617
74,twigs.08,lcd digital battery tester,6.0,1,4,Bnib ,remotes/batteries,1.9459101490553132,1.6094379124341003
75,joseph_lim_cs,window casement aircon,310.0,0,58,"Sanyo Casement aircon   $310 reconditioned unit self collect with free overhaul chemical washed, on top of that it come with free remote control, unit also tested and ensure it is cold and enough gas plus not so noisy.   Can choose different options below:-  1. Can top up $10 with delivery only . To",air,5.739792912179234,4.07753744390572
76,nofakestuffshere,sony wf-1000xm3,220.0,0,12,"- Bought January 2020, lightly used, condition 10/10 (as good as new) - In casing since day  1, original earbuds not used before - Reviewed 5 stars by What Hi-Fi : https://www.whathifi.com/reviews/sony-wf-1000xm3  *Meet up at my convenience ",others,5.3981627015177525,2.5649493574615367
77,caroupart,2.5”/3.5 “dual sata hdd docking station clone& erase,20.0,0,11,Use  one time only for data recovery  Including: Charger x1 Docking station x1 User manual x1 Package box x1    ,computers/parts,3.044522437723423,2.4849066497880004
78,hs00050,kohree led strips tv backlight bias lighting kits rgb light,19.0,1,7,"【Multi-color Led TV backlight 】16 Color Selection: White, Red, Green, Blue, Yellow, Pink, Purple, among others Customize your workspace with 60 vibrant LEDs to create a romantic home theater, light up your TV, the glow will brings a festive feel to the room and it also doubles as decoration light no",audio_visual,2.995732273553991,2.0794415416798357
79,maxgangstalava,protective cover for airpod pro,25.0,1,1,Never been used before.  Still brand new in plastic with box.,covers/cases,3.258096538021482,0.6931471805599453
80,splendorplus223,dell e6230,180.0,0,8,"DELL LATITUDE E6230, CORE i5-3340, 3RD GEN, 4 GB RAM, 500 GB HDD, 12.5 INCH DISPLAY, 2.6GHz, WINDOWS 10 INSTALLED, GOOD CONDITION,  FREE BAG & CHARGER, (REFURBISHED),",others,5.198497031265826,2.1972245773362196
81,tvmountsg.com,"full motion monitor wall mount 10-27"" whatsapp 8778 1601",25.0,1,4,Model NO:L100 TV Size:10″ – 27″ Weight Limit:3kg VESA Compliance:- 75 x 75mm – 100 x 100mm Tilt Angles: -15º ~ +15º Swivel: 180º Cable Management:No Min. Extension: 42mm Max. Extension: 350mm Colour: Black Material:AL A380 Surface Treatment:Powder Painting Coating Finished  1. Kevin Tel +65 3156 362,audio_visual,3.258096538021482,1.6094379124341003
82,ohaigorgeous,quran portable radio,20.0,1,20,"30 Juzuk Al-Quran and Terjemahan, Nasyid, Doa dan Selawat   Description :  1.FM Radio •	FM Radio (87.5 - 108 MHz) •	Come with auto search program and auto save channel. •	Memory play by interrupt stacking. •	Digital remote music play. •	3.5mm cable input/ear phone slot. •	Support micro SD card and U",audio_visual,3.044522437723423,3.044522437723423
83,icore78,tplink tl-pa4010 powerline adapter,20.0,0,2,selling a pair of tp link powerline adapters . still in good working condition,cables/adapters/switches,3.044522437723423,1.0986122886681098
84,fayth_tan,extension plug,3.0,0,1,2 pins plug,cables/adapters/switches,1.3862943611198906,0.6931471805599453
85,clutter_away,"bnib mixcder e7 active noise cancelling headphones bluetooth 5.0 wireless over ear headset with hi-fi deep bass, 30 hours playtime, quick charge, cvc8.0 mic for pc/cell phones/tv - black",45.0,1,3,"PEERLESS ACTIVE NOISE CANCELLING - Mixcder E7 noise canceling headphone adopts the professional ANC technology, active noise cancellation, which keeps noise out and music in, so you can get deeper into your music, work or whatever you want to focus on.  LATEST BLUETOOTH 5.0 TECHNOLOGY - Upgraded E7 ",audio_visual,3.828641396489095,1.3862943611198906
86,gudealz,"bedside table lamp,teckin minimalist linen bedroom light, led modern nightstand desk lamp with fabric shade for bedroom, living room, office e27 led bulb included energy class a",25.0,1,21,"❤ Minimalist design:The elegant sleek look of this bedroom light elevates the aesthetic of your home, an open-top cloth shade of beige linen hovers over a petite black base of solid wood. The size and the design make this accent lamp a splendid accoutrement for guest cottages and professional office",lights,3.258096538021482,3.091042453358316
87,electronic4you,"s2,ab5 seenda keyboard and mouse wireless and rechargable built in battery",40.0,1,3,"no backlight backlid backlit   EFFORTLESS INPUT: Comfortable and whisper-quiet keys. Take the keyboard out of the box, plug and play. Wireless range is up to 10m (33feet) ensures uninterrupted use. Enjoy a neat office desktop without the clutter of computer input devices. 110 KEYS FULL-SIZE KEYBOARD",keyboards/mouse/chargers,3.713572066704308,1.3862943611198906
88,ffeldmann,16tb 2x8 akitio thunder 3 pro,719.0,0,9,"1 x Akitio Thunder 3 Pro 1 x Thunderbolt 3 cable 1 x USB 3.1 cable  1 x power supply 2 x 8TB Seagate Ironwolf 3.5""  Used for Plex movie server in a house of 4 people. So not much writing, mainly reading. Perfect shape in every way.  Drives have been zeroed multiple times ready for use.",others,6.579251212010101,2.302585092994046
89,casewrld,bnib blackpods | airpods | black airpods,49.99,1,6,Shipment: ▫️3-5 working days only!!  Payment: ▫️Paynow ▫️Paylah ▫️Bank Transfer   Or pay through shopee  Package: ▫️1 Blackpods  PM me for more information 😇  Tags: Apple Pencil Case Soft Silicone Cover Solidcolour Applepencil Protection 1st Pencilcase  ⅠFeature: 1. Wireless connection 2. Blue tooth,audio_visual,3.9316295350670645,1.9459101490553132
90,fast_fast,sony wf 1000xm3,220.0,0,10,Bought it 3 months back. Didn't really use it much because I still prefer iems instead and looking to get the Bose 700 for commute.,audio_visual,5.3981627015177525,2.3978952727983707
91,jupitermoon,"excellent condition lenovo thinkpad t560 15.6"" 8gb 256gb rare warranty till dec 2020",799.0,0,25,"Price is fixed and non nego. Will not entertain any best price / fast deal  Laptop is in excellent condition, both working and outlook condition  Specs (All original configuration) 15.6 FHD IPS anti glare screen (1920 x 1080) Intel Skylake Core i5 - 6300U 1 x 8gb ram (Max 2 x 32gb ram) 256gb SSD Blu",computers/parts,6.684611727667927,3.258096538021482
