Seller,Product,Price,Quality,Likes,Comments
bizgramsales,"UniFi AP,AC, In Wall, Pro",0.0,1,1,"Self Collect at Bizgram Asia Pte Ltd  1 Rochor Canal Road #05-50 Sim Lim Square, Singapore 188504  Condition: New  Specification: Dimensions: 139.7 x 86.7 x 25.75 mm (5.5 x 3.41 x 1.01"") Weight:  210 g (7.41 oz) Networking Interface: (5) 10/100/1000 Ethernet Ports Buttons: Reset Power Method: -802.3"
meganwong4,Wireless Keyboard And Mouse NEW black,14.0,1,5,"Complete set tested good workable condition, keyboard and mouse sensitive response with dongle attached. contactless collection in Punggol area  Lrt only or my block downstair what you see is what you will get"
custombpa,3d printer cleaning filament ESUN,28.0,1,4,"ESUN cleaning filament( 100 grams ) , it has a wide temperature range 160°~300°.  This helps to purge out previous filaments and carbon blockages, recommended to use when changing of colors or material type.  This helps maintain your nozzle helping it last longer."
syaffceps_,Viugreum Flood Light,30.0,1,1,"Viugreum 100W LED Flood Light Outdoor, Thinner and Lighter Design, Waterproof IP65, 10000LM Daylight White (6000-6500K), Super Bright Security Lights, for Garden, Yard, Warehouse, Square, Billboard"
dogmababy,"100 LED OUTDOOR FAIRY LIGHTS, 4 models timer programs, 8 mood light functions, 10m warm white",12.0,1,1,Clearance sale  Water proof decorative string lights  11M 100 LED Fairy Lights: A ++ Energy Efficiency LEDs. Continuous lighting of the chain can be maintained for over 100 hours. No longer needing an extension cord or external power supply. Need to buy 3 extra AA batteries. 4 modes of the timer pro
omgsosexy,Elfeland LED Strip Lights 32.8FT/10M 300 LEDs IP65 5050 RGB Light Strips Music Sync Color Changing Rope Lights Flexible Tape Light Kit with APP Controller for Bedroom Home Kitchen,40.0,1,8,"📱【APP Control & Mic Mode】Control the LED strip lights via APP, remote control and controller.The bluetooth strip light has a special music mode,built-in sensitivity adjustable microphone,create romance, relaxation, party ambiance with Music and Mic function,lights color will change with the music be"
janlsl,MAGIC EAGLE GAMING KEYBOARD AND MOUSE COMBO SET RAINBOW BACKLIT,35.0,1,2,Brand New in box
realvaluedealssg,Digital Alarm Clock with LED backlit (BNIB),7.89,1,5,✓ Buy 2 for $15 ✓ Brand New - Neatly packed in a box  ✓ Attractive White Color  - LED display ✓ Check all photos for product description ✓ Batteries not included in Package  Self collect @ Punggol  (collect from a distance - strict CB measures apply)  #digital #alarmclock #alarm #LED  #compact #whit
re3electronics,"Thinlerain 15.6"" Portable Monitor",80.0,1,7,"Please note that the item is returned product from Amazon, hence the packaging is not brand new. However item is in an unused condition or tested for functionality. Not for fussy buyer.
 
 Strictly no meet-up during CB. Buyer to arrange own courier service for contactless pickup.
 
 Portable Monitor"
whimsicalfairy,LG Smart TV Camera AN-VC500,20.0,1,3,brand new in box.  specs deets here: https://www.lg.com/us/tv-audio-video-accessories/lg-AN-VC500-video-call-camera-for-lg-smart-tvs  PM for details.
javier_lim_bao_yi_98481834,Intel E8400 Delivery,15.0,0,1,Desktops
preorderkj,JBL Reflect Aware Noise cancelling Earphones Lightning,99.0,1,3,JBL Reflect Aware Noise cancelling Earphones Lightning ($289.00)  NOW: $99.00 with FREE DELIVERY  (Limited Time ONLY)   PLS allow 5 working days to receive!!
komalsg,Canon Laser Printer MF,150.0,0,10,"Pick up 5 Delta Avenue (River Valley) As good as new.  4 months old printer. Retails at 350 SGD Model MF246DN Print, scan, copy, and fax. Double sided printing  Laser printer Touch screen display.  https://www.lazada.sg/products/canon-imageclass-mf246dn-mono-laser-aio-fax-i282465767-s448057047.html?"
komalsg,Canon Laser Printer MF,150.0,0,10,"Pick up 5 Delta Avenue (River Valley) As good as new.  4 months old printer. Retails at 350 SGD Model MF246DN Print, scan, copy, and fax. Double sided printing  Laser printer Touch screen display.  https://www.lazada.sg/products/canon-imageclass-mf246dn-mono-laser-aio-fax-i282465767-s448057047.html?"
rocketeerhero,iBlockCube® Universal Power Strips 3 Way Outlets 6 (3.1A) USB Ports w/Surge Protection Socket Switch Portable Charger 2M/6.5FT UK Plug Wall Adapter Cord w/Fuse & Shutter Extension Lead (Black-Grey),40.0,1,2,"Note** it's a EU plug. but not confirmed, as it's sealed, refer last pic  iBlockCube® Universal Power Strips 3 Way Outlets 6 (3.1A) USB Ports w/Surge Protection Socket Switch Portable Charger 2M/6.5FT UK Plug Wall Adapter Cord w/Fuse & Shutter Extension Lead (Black-Grey)  2 Meters UK Outlets Power S"
chubbychipmunk,LG Smart TV camera,12.0,0,23,LG SMART TV camera AN-VC500 With box. Cash when pickup
mrit.com.sg,256GB SanDisk Ultra microSDXC UHS -I Card 100MB/s,53.0,1,3,"SanDisk Ultra microSDXC UHS -I Card 100MB/s 256GB  Brand New Add $4.50 for delivery (can bundle multiple items for 1 shipping cost)  Like what you see, check out all our IT Accessories and Gadgets at https://sg.carousell.com/mrit.com.sg.  Do check back again, we will be adding more products soon.   "
ando,ASUS P8Z77-M PRO Motherboard Intel z77 Socket LGA 1155 DDR3,80.0,0,2,"Used ASUS P8Z77-M PRO Motherboard Intel z77 Socket LGA 1155 DDR3  Should have an Intel I5 CPU inside, unfortunately totally forgot what's the model. (take it comes as free, including the CPU Fan)  Refer to the specification link below; https://www.asus.com/sg/Motherboards/P8Z77M_PRO/specifications/ "
dipakdn900600,Washing Machine,100.0,0,5,"Good condition, can check before buying."
techcove,Fitbit Inspire HR Black,109.0,1,13,"Fitbit Inspire HR
 
 ** Box a little dented, please see pictures **
 
 🌟 Brand New and Factory Sealed
 🌟 Set from USA
 🌟 30 day Seller's Warranty
 🚚 FREE Doorstep Delivery with tracking by Qxpress (2-3 working days) 
 
 Whats in the Package? 
 🔺 Fitbit Inspire HR
 🔺 Classic wristbands (both small & "
deanzz,SAMSUNG ULTRA WQHD MONITOR,500.0,1,3,want to clear shift house
endigoro,JBL charge 3 bluetooth speaker,150.0,0,11,Only used for few days but like my harman kardon speaker more so selling this.
reydonsilvers,18650 Charger,5.0,1,4,"18650 battery charger. came with item i bought but i have my own charger.  **Due to the recent movement restrictions, will not be doing any meet ups at the moment. You may still put up offers so that I will be able to reserve the item for you if you are interested. Will be only able to arrange for m"
j.builds,Zotac GTX1080 mini,360.0,0,126,"Used Zotac GTX 1080  In good working condition   Pm me for more info, thanks!"
digikidsg,Jelly Comb 2.4GHz Ultra Slim Full Size Rechargeable Wireless Keyboard,18.0,1,4,"Brand new in 📦  Retail Price: $69  Description: The ultra-slim Jelly Comb Wireless Keyboard is perfect for home office or workplace. Using advanced wireless 2.4GHz connectivity technology, you can easily connect the keyboard to your computer or laptop by plugging the nano-receiver into the USB port,"
everythingmen,Apple Watch series 5,500.0,0,8,Apple Watch series 5. 40mm GPS only. Bought for $600. Used for around 2 months. Perfect condition other than a small scratch on the side. Box included 
ando,Sapphire RADEON HD 7750 - 1GB,30.0,0,2,Sapphire RADEON HD 7750 - 1GB Working condition. Give you 3 day warrenty.  Refer for the specification https://www.cnet.com/products/sapphire-radeon-hd-7750-graphics-card-radeon-hd-7750-1-gb-112020020g/    
sinsengcomponents,Hikvision 2MP Network PoE IP Camera with Built-In-Micro SD Card Slot CCTV Camera with 2.8mm Wide Angle Fixed Lens [Order Model•DS-2CD2121G0-I/2.8],39.0,1,8,"About Us Established since 1971, Sinseng Components Pte Ltd is  Importer/Exporter/Distributor/Wholesaler of Security Surveillance CCTV Camera/Wireless IP Camera/Solar IP Camera System: Our Wide-Range of Brands & Products includes: •House Brand 7-STAR* Distributor: •Authorised VSTARCAM Distributor: •"
zenmatcha,Asus RT-AC5300 Gaming Router,260.0,0,8,"Working well, no warranty, no box"
vincentkevinee,Tube pre amp,250.0,0,31,"item sold as it is ( unable to test as I dom""t have power amp)"
uslife,"[Original]Sony Wireless Bluetooth in Ear Headphones: Noise Cancelling Sports  - Cordless, Sweatproof Sport Earphones, Built-in Microphone, Extra BASS – Blue / Black WF-SP700N/L",135.0,1,25,Original Sony. come with all accessories. New but no box.
lee666,Sony WF-1000XM3 Bought from Challenger last year september,180.0,0,16,"Seldom use, in good condition 9/10, any negotiation please pm me."
ss1417,Lenovo T440p  i5,250.0,0,22,"Lenovo T440p Core i5 - 4th Gen 8 GB RAM 500 GB HDD, DVD Drive Battry in good Condition light weight and durable Comes with Adapter Windows 10 Pro and MS Office 2019 Pro"
madcow_gov_reg_t05ll0790c,"NZXT H1 Mini ITX MATTE BLACK edition...(1Y), or Walk in for Offer rate...""ask"". Want Offer price..!! Pls walk in direct. 100% New ""Wholesales/Retailer"". (Offer Till xxxx ) Tag Razer Z390 B450M B450 X570 ASUS Fiddo G29 CAR MSI 3950X RTX 2080 Ti 3900X ,",527.0,1,5,"https://www.youtube.com/watch?v=dzHtWZ-_KYU&feature=youtu.be&fbclid=IwAR3X0IhjDPef53nVJSwnvXct3X7PCtNxgIhUHUpFVia3V8Fx0cuVEiWwIYY (Smallest Case) Need Mac or PC, Laptop Repair...!!!  Bring to 39A Jalan pemimpin,halcyon bldg #07-07 577183 Tonite, https://www.youtube.com/watch?v=w-XvV4_2AXo (Insist on"
tchuanhock8,USB A/B Digital Audio DAC Interconnect Cable,39.0,1,5,USB A/B Digital Audio DAC Interconnect Streaming Cable  Hand Audio local hand crafted design with Europe ultra high purity 99.99%OFC conductors wires highly shielded excellent rejection of RF/EMI noise  Sleeve with protection jacket  Shielded USB connectors  Version 2.0 Triple electro magnetic scree
jamz.ajee,HD Dual Lens Car Camera,40.0,1,2,BNIB 1080P Dual Lens Car Camera
fatzywee,Dual Monitor Vesa Stand,60.0,0,2,Dual Monitor Vesa Stand Compatible with 17 to 27 inches monitor with M3 bolts and washers Good condition  Can Trade with GPU
harvestlee,Universal Battery Voltage Tester,5.0,1,12,Free Normal Mail   Easy-to-read colour-coded scales indicate the power level Can quickly test the capacity of your battery Compact size and lightweight Test multiple sizes of batteries in one unit The perfect companion for travel One movable arm to accommodate the battery Two buttons on the side for
zhumeng0331,Huawei Freebuds 3,170.0,1,3,Audio
digi-otaku,Coiled type C to Usb cable,45.0,1,10,Type C for 1 side Usb type A for 1side 1meter long  Item is brand new
nicholas.tee,Fiio K5 pro dac amp desktop audio amplifier,220.0,0,19,Selling an almost brand new Fiio K5 pro dac amp. Bought 2 months ago to complement my other amps but barely used. In pristine working condition. The original packaging box has a slight dent at the corner.  Further information: https://www.fiio.com/k5pro
hydratoraudio,Behringer C-2 Matched Studio Condenser Microphones,79.0,1,50,"2 matched condenser microphones for stereo studio recording and live applications
 Ideal as main and support microphones for studio and live applications
 Cardioid pickup pattern for effective feedback elimination
 Low-mass diaphragm for ultra-wide frequency response and ultimate sound reproduction
"
zengbin0306,Lenovo ThinkPad X230,229.0,0,8,"Intel Core i5 -3320M , 3rd Generation, 4G ram, 320GB storage , 12.5 inch ,HD camera,WIFI , Windows 10 pro. Battery in good condition, life 2-3 Hrs. Come with original charger. No any tiny issue at all. Working perfectly and never be fixed/ repaired. Firm Firm on price."
bloberme,"Bravedge Mini Multi Tool Pliers, Pocket Multi-Purpose Knife, Folding Keychain Tool with Saw, Screwdriver, Bottle Opener, Carabiner, Portable Stainless Steel EDC Tool for Camping, Survival, DIY",32.0,1,13,"★【7 in 1 Multi-tool Pliers】- The Pliers is equipped with 7 functions, including Needle-Nose Plier, Standard Pliers, Cable Cutter, Saw, knife, Bottle Opener, keychain so that it could work on different situations. ★【Durable material】- The main part of the pliers adopts durable stainless steel materia"
branwong,"15 Pcs Soldering Kit with Stand, 60w Adjustable Temperature, Desoldering Pump, Wire Cutter and Carrying Case",19.9,1,28,Others
t258jgn,[READ THE DESCRIPTIONS] ASRock DeskMini A300 AMD Ryzen 3400G Small Form Factor Mini PC BAREBONE Bundle (Ryzen Asrock Crucial ADATA Samsung Noctua ID-Cooling),820.0,1,162,"👍👍 CASH / BANK TRANSFER / PAYNOW / PAYLAH PAYMENTS ONLY 👍👍 
 ⛔❌NO CAROUPAY & CARDS PAYMENTS ❌⛔ 
 
 PLEASE SCROLL DOWN & READ THE DESCRIPTIONS BELOW!
 
 
 AMD RYZEN 3000 DESKTOP READY printed on the box. (See 4th picture) 
 
 SAME SIZE AS NORMAL PC ATX POWER SUPPLY 
 
 SLIGHTLY BIGGER THAN YOUR PALM "
xtremepc,PROMO!! Ryzen 5 3600 + GTX 1070Ti + B450 + 8GB RAM + 240GB SSD Gaming Desktop PC,1025.0,1,10,"!!GTX 1070Ti Gaming PC!!   **Better Performance than AMD RX590 in any games**  Whilst stocks last. Best deal in town!. Enjoy free delivery islandwide, you just need to wait in the comfort of your own home while we work on your dream rig!. 😎  !!Please Read!! ________________________ * Trade-in your o"
newchapters.,LED SnapBack Baseball Caps! Super Stylish and Cool! 3 light mode!,12.5,1,164,"Ideal for parties, concerts, events and clubs! Ideal for family outings with your kids and children! 3 light mode: fast, flicker and slow! Features: 1.suitable for Hip-hop,baseball and other activities. 2.LED Light makes your more different and catch peoples eyes. 3.Scientific design,2 switches,one "
jhonlittle315,Dell E6230,180.0,0,4,"DELL LATITUDE E6230, CORE i5-3340, 3RD GEN, 4 GB RAM, 500 GB HDD, 12.5 INCH DISPLAY, 2.6GHz, WINDOWS 10 INSTALLED, GOOD CONDITION,  FREE BAG & CHARGER, (REFURBISHED),"
newchapters.,Electric Engraving Tool Machine! DIY Gifts and Present!,8.0,1,169,"Engrave and DIY your own gifts! 
 Features: Everlasting message on gifts and trophies. Portable size, easy to carry and use. Security identification on valuable appliance. It is a good tool for you to DIY the special gift for your lover, friends, family etc. Application: metal, stone, glass, wood. A"
newchapters.,"USB Air Ionic purifier Ionizer Car, Home, Office and Laptop Clean Haze Air!",8.5,1,163,"Enhance your children, kids and family health and well being with this gadget!  -keep your car air clean!  Description : This is a USB  ionizer, emitting healthy negative ions into the air by carbon fiber brush system, effectively remove the air of smoke, dust, allergen, refresh the air. Small and f"
tchuanhock8,USB A / Micro USB Digital Audio DAC Cable,39.0,1,4,USB A / Micro USB Digital Audio DAC Streaming Cable Hand Audio local hand crafted design with Europe ultra high purity 99.99%OFC conductors wires  Highly shielded excellent rejection of RF/EMI noise  Sleeve with protection jacket  50cm in length  Triple Electro magnetic screen   Postage Singapore Po
deptrai.xx,*OFFER*Apple Airpod Gen 2 (free LV case),98.0,1,22," 1. Air-pods 2.0 has four more functions than airpods 1.0 -- 1) wireless charging function, 2) in ear detection, 3) rename, 4) GPS. (in ear detection --  take out the earphones from your ear, music will stops automatically; put the earphones back to your ear, music automatically play.)    Features: "
momoforyou,Hari Raya Special: 5050/ 2835 RGB LED lights with light bar set-Epoxy waterproof colorful discoloration led lights -12V infrared remote control 44 keyboard LED light fixture with light bar set,21.0,1,29,"Hari Raya Special!  LED lights to brighten your house!  Length: 5 meters  # 2835 ：21 SGD 44 keyboard LED light fixture with light bar set - waterproof (seven-color light)   # 5050 ：29.5 SGD  44 keyboard LED light fiture with light bar set - not waterproof (monochromatic light, seven-color light)    "
newchapters.,Bluetooth USB Dongle for All Electronic Products! Version 2 and 4 available!,8.5,1,162,"V2.0 is $8.50 V4.0 is $10.50  Specification: - Bluetooth specification V2.0 Compliant - Supporting profiles : Networking, Dial-up Fax, LAN access and Headset - Operating system: Win 98, 98se, Me, 2000, XP, Vista, Win 7 - Interface: USB compliance - Symbol rate: 3Mbps - Receiving/Sending range : 0-10"
newchapters.,MP3 Player With Clip! Stylish And Sleek! For Sports and Daily Use!,8.5,1,171,"This stylish MP3 player will be accompanying you throughout when you are exercising, going to work and going home from a party!   +earpiece:$2 +charger: $1.50  Support 2/4/8/16GB Micro SD/TF card Memories  (not included) Plays mp3 music. Simply copy/paste the mp3 files from your PC to the MP3 player"
newchapters.,Laptop Cooling Fan Foldable Stand! For Gaming and Working Laptop! Cooler Pad! Stylish!,11.0,1,186,"Stylish and sleek! Foldable and portable! Ideal for gaming laptop and working laptop! Can be used as stand! Prevent your gaming laptop from heating up so that you can played and enjoy your game longer!  Features: 1. USB powered cooling pad for laptops, netbooks, tablet PCs etc where USB powered cool"
newchapters.,"Camera Lens, Watch, laptop Cleaner Set! Ideal For Business and Personal Use!",9.0,1,162,"-Very versatile cleaning set for camera lens, watches, laptops, electronics and Gadgets! -For business and personal use!  Suitable for: Camera, Videos, Lenses, CCD and other optics.  1. Lens Cleaning Pen Brush  Safe for all lenses,inclunding multi-coated surfaces.  Unique cleaning compound will not "
newchapters.,Telescopic Magnetic LED Light! Extendable Flexible Torchlight! Pick up Tool!,10.0,1,125,"Ideal when you want to pick things up from the car edge and the seat! Prevent wasting hours and energy taking keys and items from the side of the car! Multipurpose to search in tight corners or holes! Find your metal screws, bolts and other small items with ease!  Features: Telescoping Torch LED Mag"
newchapters.,Telescopic Magnetic LED Light! Extendable Flexible Torchlight! Pick up Tool!,11.5,1,127,"Ideal when you want to pick things up from the car edge and the seat! Prevent wasting hours and energy taking keys and items from the side of the car! Multipurpose to search in tight corners or holes! Find your metal screws, bolts and other small items with ease!  Features: 1. This Flexible Torch is"
twigs.08,LCD digital battery tester,6.0,1,4,Bnib 
joseph_lim_cs,Window Casement Aircon,310.0,0,58,"Sanyo Casement aircon   $310 reconditioned unit self collect with free overhaul chemical washed, on top of that it come with free remote control, unit also tested and ensure it is cold and enough gas plus not so noisy.   Can choose different options below:-  1. Can top up $10 with delivery only . To"
nofakestuffshere,Sony WF-1000XM3,220.0,0,12,"- Bought January 2020, lightly used, condition 10/10 (as good as new) - In casing since day  1, original earbuds not used before - Reviewed 5 stars by What Hi-Fi : https://www.whathifi.com/reviews/sony-wf-1000xm3  *Meet up at my convenience "
caroupart,2.5”/3.5 “Dual SATA HDD Docking Station Clone& Erase,20.0,0,11,Use  one time only for data recovery  Including: Charger x1 Docking station x1 User manual x1 Package box x1    
hs00050,Kohree LED Strips TV Backlight Bias Lighting Kits RGB Light,19.0,1,7,"【Multi-color Led TV backlight 】16 Color Selection: White, Red, Green, Blue, Yellow, Pink, Purple, among others Customize your workspace with 60 vibrant LEDs to create a romantic home theater, light up your TV, the glow will brings a festive feel to the room and it also doubles as decoration light no"
maxgangstalava,Protective Cover For Airpod Pro,25.0,1,1,Never been used before.  Still brand new in plastic with box.
splendorplus223,Dell E6230,180.0,0,8,"DELL LATITUDE E6230, CORE i5-3340, 3RD GEN, 4 GB RAM, 500 GB HDD, 12.5 INCH DISPLAY, 2.6GHz, WINDOWS 10 INSTALLED, GOOD CONDITION,  FREE BAG & CHARGER, (REFURBISHED),"
tvmountsg.com,"Full motion monitor wall mount 10-27"" Whatsapp 8778 1601",25.0,1,4,Model NO:L100 TV Size:10″ – 27″ Weight Limit:3kg VESA Compliance:- 75 x 75mm – 100 x 100mm Tilt Angles: -15º ~ +15º Swivel: 180º Cable Management:No Min. Extension: 42mm Max. Extension: 350mm Colour: Black Material:AL A380 Surface Treatment:Powder Painting Coating Finished  1. Kevin Tel +65 3156 362
ohaigorgeous,Quran Portable Radio,20.0,1,20,"30 Juzuk Al-Quran and Terjemahan, Nasyid, Doa dan Selawat   Description :  1.FM Radio •	FM Radio (87.5 - 108 MHz) •	Come with auto search program and auto save channel. •	Memory play by interrupt stacking. •	Digital remote music play. •	3.5mm cable input/ear phone slot. •	Support micro SD card and U"
icore78,Tplink TL-PA4010 powerline adapter,20.0,0,2,selling a pair of tp link powerline adapters . still in good working condition
fayth_tan,Extension plug,3.0,0,1,2 pins plug
clutter_away,"[BNIB] Mixcder E7 Active Noise Cancelling Headphones Bluetooth 5.0 Wireless Over Ear Headset with Hi-Fi Deep Bass, 30 Hours Playtime, Quick Charge, CVC8.0 Mic for PC/Cell Phones/TV - Black",45.0,1,3,"PEERLESS ACTIVE NOISE CANCELLING - Mixcder E7 noise canceling headphone adopts the professional ANC technology, active noise cancellation, which keeps noise out and music in, so you can get deeper into your music, work or whatever you want to focus on.  LATEST BLUETOOTH 5.0 TECHNOLOGY - Upgraded E7 "
gudealz,"Bedside Table Lamp,TECKIN Minimalist Linen Bedroom Light, LED Modern Nightstand Desk Lamp with Fabric Shade for Bedroom, Living Room, Office (E27 LED Bulb Included) [Energy Class A]",25.0,1,21,"❤ Minimalist design:The elegant sleek look of this bedroom light elevates the aesthetic of your home, an open-top cloth shade of beige linen hovers over a petite black base of solid wood. The size and the design make this accent lamp a splendid accoutrement for guest cottages and professional office"
electronic4you,"S2,AB5 SEENDA Keyboard and mouse wireless and rechargable built in battery",40.0,1,3,"no backlight backlid backlit   EFFORTLESS INPUT: Comfortable and whisper-quiet keys. Take the keyboard out of the box, plug and play. Wireless range is up to 10m (33feet) ensures uninterrupted use. Enjoy a neat office desktop without the clutter of computer input devices. 110 KEYS FULL-SIZE KEYBOARD"
ffeldmann,16TB (2x8) Akitio Thunder 3 Pro,719.0,0,9,"1 x Akitio Thunder 3 Pro 1 x Thunderbolt 3 cable 1 x USB 3.1 cable  1 x power supply 2 x 8TB Seagate Ironwolf 3.5""  Used for Plex movie server in a house of 4 people. So not much writing, mainly reading. Perfect shape in every way.  Drives have been zeroed multiple times ready for use."
casewrld,BNIB BLACKPODS | AIRPODS | BLACK AIRPODS,49.99,1,6,Shipment: ▫️3-5 working days only!!  Payment: ▫️Paynow ▫️Paylah ▫️Bank Transfer   Or pay through shopee  Package: ▫️1 Blackpods  PM me for more information 😇  Tags: Apple Pencil Case Soft Silicone Cover Solidcolour Applepencil Protection 1st Pencilcase  ⅠFeature: 1. Wireless connection 2. Blue tooth
fast_fast,Sony WF 1000XM3,220.0,0,10,Bought it 3 months back. Didn't really use it much because I still prefer iems instead and looking to get the Bose 700 for commute.
jupitermoon,"Excellent condition Lenovo Thinkpad T560 15.6"" 8gb 256gb Rare Warranty till Dec 2020",799.0,0,25,"Price is fixed and non nego. Will not entertain any best price / fast deal  Laptop is in excellent condition, both working and outlook condition  Specs (All original configuration) 15.6 FHD IPS anti glare screen (1920 x 1080) Intel Skylake Core i5 - 6300U 1 x 8gb ram (Max 2 x 32gb ram) 256gb SSD Blu"
laconic84,Samsung 20 inch widescreen Monitor,20.0,0,1,Samsung B2030
thefurnituremart,Rare Red H1 Zoom Recorder,80.0,0,5,"Fixed price. Can't find one this cheap. Price already reduced from $100. Stop asking for negotiation or better price. It's already the LOWEST PRICE.  Great for its portability. Rusting on the metal.  Comes with box, H1 Zoom Does not come with battery and microsd card"
phonetrader,Seagate 5TB Portable External HDD Hard Disk Drive Backup Plus 5.0 TB with data recovery,175.0,1,7,"Brand New sealed, never open. Seagate 5TB Portable External HDD Hard Disk Drive Backup Plus 5.0 TB external 2.5” Portable  Brand New Never Used, local warranty till Jan 2022.  USB 3.0. Requires USB power only, no adapter needed. Small and Portable. Biggest capacity HDD in portable version.  Color:Si"
isyaaasyaaa,bundle C - electronics,150.0,1,5,electronics : portable video player camera led bulb drone hdmi  pop up mobile external hdmi 2.0 wireless wifi repeater wifi smart socket drone with camera
lumsterr,Schiit Modi 3 DAC,175.0,1,1,Looking for someone to share shipping from Schiit - price includes delivery to SG. Can arrange courier to your place at a low cost. Thanks!
mesasix,Apple Watch Silicon Case 38mm,7.0,1,6,"Silicon case finished in chrome-plated like colour, providing complete protection for your beloved Apple Watch from the sides to the watch face.  3 colours available, - Gold - Rose - Light Pink  Self collection @ Blk 386 Yishun Ring Road. Additional $1 for normal postage.  Thanks for viewing, cheers"
premium.affordable,1byOne PULSE OXIMETER bluetooth App Function,35.0,1,3,"1) SpO2 Value display 2) Pr value display and bar graph. 3)  Low battery indicator. 4) Automatic storage for SpO2 and PR value. 5) Sync clock function 6) Display of steps, calories and time. 7) The pedometer can store data 8) Height, Weight, Goal setting of 10 and Server Pedometer sensitivity can be"
pallet_musketeers,P5. HIFI Decoder SMSL SU-8 2ES9038Q2M USB PCM32 768kHz DSD64 DSD512 DSD Balance DAC Decoder,238.0,1,18,"Selling fast!  ESS technology latest ES9038Q2M DAC, with the new 32-bit HyperStream II architecture, improving sound quality and DoP function. 2nd generation of XMOS USB audio solution xCore200, PCM sampling rate supported up to 32bit/768kHz and DSD up to DSD512. Ultra-low jitter asynchronous design"
rollsafe,Dell Monitor,120.0,0,2,"Selling a used dell monitor, comes with vga cable as well. In perfect working condition, no scratches or cracks at all."
isyaaasyaaa,bundle B - electronics,90.0,1,2,Others
sqweak,ThinkPad X240 with port replicator dock,300.0,0,7,Lenovo X240 (i7) for sale comes with dock and adapter. Specs can be found in pic #5
oceanshop11,Al-Quran Portable Radio,20.0,1,42,"Quran Portable Radio Comes with 30 Juzuk Al-Quran and terjemahan, nasyid, doa dan selawat  Description :  1.FM Radio •	FM Radio (87.5 - 108 MHz) •	Come with auto search program and auto save channel. •	Memory play by interrupt stacking. •	Digital remote music play. •	3.5mm cable input/ear phone slot"
thanhbinh1501,Gaming Laptop,1300.0,0,75,Core i7-6700HQ Gtx 1060 6gb 16gb Ram 256gb ssd + 1000gb hdd Come with charger. 
