Seller,Product,Price,Quality,Likes,Comments
move_move_movers,"Move Move Movers, move to a better place🏠🏠🏠",S$28.80,"WhatsApp link: Https://wa.me/6583325196 Free quotation  Free boxes 📦📦📦 Free Wrapping No hidden cost   Website:  www.movemove.biz www.movemovemovers.com Email: movemovemovers.com@gmail.com Office: #05-35, Pioneer Junction, 3 Soon Lee Street Singapore 627606  - Professional service, full time experien",429,Spotlight
treoo,Audio-Technica ATR-2500USB Cardioid Condenser USB Microphone,S$128,New,100,"★ Side-address condenser microphone with USB output for easy connection to your computer.		 ★ Ideal for podcasting, home studio recording, field recording, and voiceover use.		 ★ Built-in headphone jack allows you to directly monitor your microphone output without audible delay.		 ★ Adjust headphone"
janexxuan,NVIDIA SHIELD TV,S$220,New,10,"I bought this thinking it came with projection - turns out, I did not do my research properly. Very silly :(  See photos attached for transaction with Shoppee - this was purchased on 9 May 2020. I just received it in the mail today on 16 May 2020. I’m listing it as a new item (never used at all). Ha"
laptophouse,Lenovo Thinkpad Laptop!!! Export Sets for Sales!!!!,S$199,Used,60,"Lenovo Thinkpad Export Sets   Thinkpad L Series 14"" L420, Core i3-2nd/4G/320GB HDD @$199 L420, Core i5-2nd/4G/320GB HDD @$209   Thinkpad T series 14"" T420, Core i5-2nd/4G/320GB HDD @$209 T430, Core i5-3rd/4G/320GB HDD @$299 T440p, Core i5-4th/4G/320GB HDD @$299 - Sold out!!! T440, Core i5-4th/4G/500"
eunnnnn,xiberia,S$29,brand new ,1,New Carouseller
jovan.tucker,Turntable / Record player,S$250,Used,3,Stanton record player - less than a year old. Selling because I am relocating    https://www.planetdj.com/stanton-t80
ftcgadgets,Lenovo Laptops - Different Models Listed,S$200,Used,9,"Grade A laptops. In good condition. All comes with 4gb ram, 320hdd, webcam and adaptor. Quantity 10-50pcs, varies depending on each model.  Models:  Lenovo T410 I5-gen1 $200  Lenovo T420 I5-gen2 $220  Lenovo T430 I5-gen3 $235  Lenovo T520 I5-gen2 $235  Lenovo T530 I5-gen3 $250  Lenovo L430 I5-gen3 $"
sgballoons.singapore,Custormized balloons,S$35,Lowest price guaranteed.  If you can find any thing cheaper elsewhere we will give you additional 10% discount on the total amount ❤️   24inch Custermized balloons available!   ❤Transparent custermized deco balloons - $35 ❤Confetti custermized deco balloons - $38 ❤Mini balloons filled custermized de,133,Spotlight
lolwat,Brand new smart watch touch screen fitness tracker,S$55,New,6,"Brand new fitness tracker smart watch with full touch screen. Heart rate, sleep tracker, steps, blood pressure monitor, pedometer, time, notifications, messages, multi sports mode, gps, waterproof, call alert, music control, sedentary alert, incoming call alert and stopwatch functions. Collect at 64"
iiiibuysell,Laptop laptop laptop ssd,S$229,Used,2,"Light weight window 10 64bit  Japan Panasonic 12"" laptop  With ssd 120gb no lagging  With wifi 5GHz and charger  Good Battery life   We install for original Window 10 64bit and office 2019 word Excel PowerPoint and photoshop PDF reader VLC player AVG Antivirus software and more.....   System U9600 @"
t258jgn,MSI Radeon RX 5700 MECH GP OC 8G DDR6 GRAPHICS CARD,S$550,New,24,"👍👍 CASH / BANK TRANSFER / PAYNOW / PAYLAH PAYMENTS ONLY 👍👍 
 ⛔❌NO CAROUPAY & CARDS PAYMENTS ❌⛔ 
 
 PLEASE SCROLL DOWN & READ THE DESCRIPTIONS BELOW! 
 
 PROMOTION DETAILS
 AMD Radeon Raise the Game Bundle:
 Promotional Period: February 4, 2020 - May 30, 2020
 Redemption Period: February 4, 2020 - Ju"
kinglysg,Creality 3D Ender 3 - DIY 3D Printer Kit,S$348,New,64,"220 x 220 x 250mm MK10 Extruder 1.75mm 0.4mm Nozzle  Limited Quantities Available  Full Review https://youtu.be/a8Z-9ncYsps  Main Features ● MK - 10 extruder greatly reduces plugging risk and bad extrusion ● V-slot with POM wheel makes it move noiseless, smoothly and durable ● One-piece structure pr"
888thaiamulets888,Business Fortune Protection Testimonial From Our Users,S$168.88, ✅HAVE YOU BEEN STRUGGLING TO IMPROVE YOUR FINANCIAL STATUS ?  HOPE TO ATTRACT FORTUNE & PROSPERITY INTO YOURS & YOUR FAMILY'S LIVES ?  ✅DESPITE THE WORKING VERY HARD BUT FIND THAT SUCCESS IS STILL VERY FAR AWAY FROM YOU ?  OBSTACLES TENDS TO OCCUR JUST WHEN YOUR ABOUT TO ACHIEVE SUCCESS ?  ✅NEVER H,47,Spotlight
motorstar,Hp Printer,S$20,Used, ,Still got a bit of ink to prink Black and colour 7/10 Copy ok Print ok Scan ok
29squares,MPT LI-ON Cordless Reciporcating Saw 21V,S$120,"POWERFUL MOTOR - 21V battery delivers no load speed of 0 - 3000 strokes per minute for strong, controlled, quickly cutting through wood, pipe and metals. TOOL-FREE BLADE CHANGE - A lever-actuated blade changing mechanism built into the tool lets you quickly swap out blades without using any extra to",1,New Carouseller
alrahman0431,Laptop,S$250,Used,26,Its fujitsu brand and used laptop 
jerens,Harman/ Kardon Onyx Studio 3 Wireless Bluetooth Speaker,S$120,Used,9,"Note: During the Circuit Breaker period, no meet-ups but delivery only. Delivery costs can be discussed with buyer.   Portable Bluetooth speaker with rechargeable battery and built-in microphone Harman/ Kardon is known for good audio quality, and this product lives up to its reputation. Audio qualit"
callmekr,Lenovo laptop,S$280,Used,13,Old used laptop.  No longer good for gaming.  Still can be used as a normal laptop.  No battery. Must be plugged into power source to use. 
daphne.tan.908,SME Accounting,S$0,"We provide the following services: - Book Keeping Service- monthly or yearly  - Set up chart of account  - Financial Reporting - Audit Schedules - Special audit - Incorporation of new company - Secretary services (eg increase the share capital, resign and appointment director) - GST Preparation & Su",18,Spotlight
whoohoo85,"Lenovo A8-7100/16GB/256GB SSD/Radeon R5/14"" Gaming Laptop",S$400,Used,14,"Lenovo Z40-75 Gaming Laptop
 
 AMD A8-7100 Processor (Quad Core)
 16GB DDR3L Dual Channel Ram
 256GB Samsung EVO 850 Solid State Drive (SSD)
 DVD/RW Rom Drive
 AMD Radeon R5 M230 Graphics w/ 2GB Dedicated Ram
 14"" HD (1366x768) Resolution Display
 1 x USB 3.0 Port
 2 x USB 2.0 Port
 1 x HDMI Port
 1"
65_km,Apple Watch Transparent Protector Case,S$10,New,7,"1. Applicable to Apple Watch Series 5/4/3/2/1. Available in 4 sizes: 38mm, 42mm, 40mm, 44mm 2. Made of high quality, scratch resistant durable TPU with screen steel film 3. Flexible materials can be quickly and easily installed and removed 4. Comprehensive edge coverage prevents all scratches 5. Eas"
softtron_for_sale,"Microsoft office / Microsoft Office 365 (not pillow,service,box or bootcamp)",S$25,"Msg me via telegram / whatsapp only for more information/pricing:   https://t.me/Soft_Tron  Or   https://wa.me/6582286604   Or  Click on my profile name and click on ""about""  Cheap Cheap Include Free Mailing  Tags: adobe / microsoft / book / pillow / bootcamp ",2,New Carouseller
propnextopagent,Interested to Own a Second Property in Singapore?,"S$688,888","1,600 sqft",32,Spotlight
gamingspecialist,"5C 5631 (NEW) SOMIC G951 Pink Gaming Headset for PS4 PC, 7.1 Virtual Surround Sound Detachable Cat Ear Headphone with LED Light, Microphone, Over Ear Headphones for Girlfriend Women (USB Jack)",S$62.99,New,24,"Retail Price: $78.18 🔥 Buy from us & you save up to 30% 🔥  ✅ Please kindly read through the description of product given. (Items are exact to picture listed, unless otherwise stated)  ✅ Address and opening hours are stated on every page listing  (End of the page of Meet up/ Mailing tab).  💬 CHAT TO "
foosl,Bose Soundlink Around the Ear wireless Headphones,S$120,Used,3,In Good Condition. Seldom Used Headphone.
alanchin7212,Tower socket with USB port,S$55,New, ,Brand new . Unused tower socket with USB port . Black Color and only set . Self collect at Sengkang or delivery @$6
brunching,August Home August Smart Lock Pro + Connect with Wi-Fi Bridge,S$300,New,4,"August smart lock in GREY with connect wifi bridge Bought directly from Amazon. Still brand new in box!  - Zwave, HomeKit & Alexa Compatible   You can refer to below for more info on this product.   https://august.com/products/august-smart-lock-pro-connect  https://www.amazon.com/gp/aw/d/B0752VPHVK/"
sg.pacific.mover,Office Relocation & Disposal Service,S$0,🌐Website:sgpacificmover.com.sg 📧Email:www.sgpacificmover@gmail.com 😀Facebook: sgpacificmover   SG PACIFIC Mover is a professional moving company with more than 15 years of experience. We move your items speedily and safety. We do not compromise on keeping your items safe for the sake of being effici,51,Spotlight
sinsengcomponents,7-STAR* 4CH 1080P IP Camera - Wireless Plug & Play 4CH/8CH Full-HD NVR(Network Video Recorder) Kit Set with 4/8 IP66 Weatherproof indoor/outdoor Day & Night Full-HD 1080P 2MP Dome/Bullet Security CCTV Wireless IP Camera (PC/Mobile APP:IP Pro - EseeCloud),S$150,New,67,"About Us Established since 1971, Sinseng Components Pte Ltd is  Importer/Exporter/Distributor/Wholesaler of Security Surveillance CCTV Camera/Wireless IP Camera/Solar IP Camera System: Our Wide-Range of Brands & Products includes: •House Brand 7-STAR* Distributor: •Authorised VSTARCAM Distributor: •"
ooikw8,FS: Whafedale Delta 30.2 Bookshelf Speaker,S$120,Used,14,I’m selling a pair of Whafedale bookshelf speaker which in good working condition.   Kindly call/sms me at hp:81334568 for more detail. 
pb8307,Jenome Cooper Pro 5000Q sewing machine,S$155,Used,3,Great condition Jenome sewing machine for sale!
alhana,MIBAO M200 MP3 MUSIC PLAYER (SD card not inclusive),S$15,"【Double-faced Acrylic Glass Design & High Sensitive Touch Button】 Scratch-proof shell and smooth screen make you feel comfortablel. Equipped with double-faced Acrylic glass design, 7 highly sensitive touch buttons with backlight enable the player to be controlled without disturbing noises and can be",1,New Carouseller
kwmdaily,RATTAN  LAMP/LED LAMP/BEDSIDE LAMP/LED LIGHT,S$15,New, ,"BEDSIDE LED LAMP🕯️🕯️ COME WITH LED BLUB💡💡💡 CAN BE A PRESENT GIFT 🎁🎁 NOW PROMOTION JUST SELLING FOR $15 ONLY , IF INTERESTED ASK MORE DETAIL AND THROW THE PM 🤗🤗  CAN Following OUR PAGE👉👉 https://m.facebook.com/109433957419471  https://api.whatsapp.com/send?phone=6588933172&text="
serliwidiawati,Phywe power supply for spectral Lamps @$60 Each,S$60,Used,1,"Phywe power supply for spectral Lamps @$60 Each   Qty : 1 Pc.  Can be power on but no further testing has been.  Please self inspect.      ""First Come  First Serve "". Unable to reply inquiries, Therefore, JUST WALK IN to check the condition and see 5000 other items at our warehouse  If you wanna buy"
alfred_era,2 Fourth Avenue,"S$888,888",888 sqft,9,Spotlight
elielootgieter,Sony VFet amplifier TA-N7,S$300,Used,5,"WARNINGS: for parts or repair. This is a Japan 100V unit.
 
 Hard to find Sony flagship TA-N7 power amplifier (years 70/80)
 
 The amplifier can switch on, I can hear the three relays clicking but nothing when I tried to play a sound.
 
 No idea about the history of this amp (bought it as is on line"
torulychu,Dell Laptop,S$250,Used,15,"Laptop is in working condition. It has Intel core i3, 2.1 GHz processor."
onimi2020,Toshiba External Hard Disk 1TB,S$100,New,9,Brand new in box.  1TB.  Bought at S$115. 
kittymount,TV Base For All TV Brands,S$59,New,8,"$59 TV BASE CALL 9183 7250   Two legs Universal TV TABLE STAND  Fits for all LED/LCD/PLASMA/CURVED/OLED TV/Xiaomi/EINZ/TOSHIBA/SAMSUNG/LG/SONY/PHILIPS  ✔Easy to install. ✔Come w standard screw size. ✔If your tv need any special screws can get from hardware shop.   ✔Suitable 40"" to 70"" and 45kg below"
property2go,HDB MOP-ED OWNERS WHAT ARE YOUR OPTIONS?,"S$450,000",940 sqft,4,Spotlight
ti4nyu,Msi rx580 8gb gpu,S$110,Used,35,Fast meet up after lockdown selling for $100. It’s been used for quite long. I wanted to get a better gpu so hence finally trying to sell it off
markfleming,384 GB  ( 32GBX12 pieces) Ddr4 ram 2400T ecc server based ram,S$0,384 GB  ( 32GBX12 pieces) Ddr4 ram 2400T ecc server based ram  32 gb ddr4 stics 12 pieces avail Total 384 GB Bought for office server but not used Anyone interested txt me Thx,3,New Carouseller
shopin1388,SONICGEAR BT5500 OPTICAL SOUNDBAR - WIRELESS SUBWOOFER | ENHANCE TV SOUND | LOCAL STOCKS! OTHER MODELS AVAILABLE,S$69.90,New,25,Buy link> https://qoo.tn/By1LsW/Q000159230
theeverythingstore,"Yale Assure Lock SL with Z-Wave Plus - Key Free Door Lock with Touchscreen Keypad - Works with SmartThings, Wink and More (YRD256ZW2619) in Satin Nickel",S$394,New,17,"Description  Lose your keys for good with the Yale assure lock SL. Lock and unlock your home using the backlit touchscreen keypad or through your Z-Wave smart home system, including Samsung SmartThings and wink. Tap the keypad with 3 fingers to quickly lock the door behind you or turn on auto-relock"
janeyyyy,NEW Harman Kardon Onyx Studio 3 (Black),S$150,New,3,"Hi there!  Selling brand new, unopened Harman Kardon Studio 3 (Black) Wireless Bluetooth Portable Speaker.  No warranty; received it as a 2018 Christmas present.  Feel free to contact me :)"
dcprop,ARTRA @ Rehill MRT - TOP 2020,"S$2,040,000","1,044 sqft",17,Spotlight
lululeow,Apple iPhone Earpiece,S$12,New,1,Brand new in box
chickenmcnugget,Surface book 2 i7 / 8gb / 256gb,"S$2,200",New,6,Want to sell brand new unopened surface book 2. Wife bought the wrong model so am selling instead of returning it Still brand new in delivery package.
wcssingapore,"Logitech Bluetooth Multi-Device Keyboard K480 – Black – Works with Windows and Mac Computers, Android and iOS Tablets and Smartphones",S$65,Type-on-anything universal keyboard Switch easily between devices Type in comfort Multi-platform and cross-platform Please refer to compatibility information present below keyboard for your computer - that also works with your smartphone or tablet. Bluetooth range: up to 10 meters (33 feet) Just tur,1,New Carouseller
hdb.upgrader,216a Compassvale Drive Compassvale Mast,"S$338,000",990 sqft,2,Spotlight
cashconverterssg,HEATER,S$12,New,2,"SKU-68000000069992
 BUY THIS ITEM AT OUR WEBSITE:
 https://www.cashconverters.sg/heater-6800000069992.html
 
 USE VOUCHER CODE : CB10OFF TO GET 10% DISCOUNT WITH NO MINIMUM SPENDING REQUIRED.
 "
sgfireaway,CPU BUNDLE (i7-2600 + ASUS P8B75-M // NEGOTIABLE! ),S$150,Used,31,"- i7-2600 CPU CHIPSET ( was not overclocked nor used for mining) - P8B75-M MOTHERBOARD (used but not abused) - Both conditioned 8/10. Very well taken care of. And YES , ITS NEGOTIABLE!  - First come, first serve"
danalsaurus,Western Digital WD RED 3TB,S$120,Used,27,"Excellent condition harddisk  No more warranty  Each 120$. Take all 3, 300$  Best for NAS qnap synology  "
imsguniting,Ddr4 hp 16gb x 2 desktop computer udimm ram intel ryzen,S$200,New, ,A pair of 2 x 16gb HP ddr4 desktop computer ram udimm unused unopened.  delivery at buyer's expense.
heathertwg,4rm Flat for Sale,"S$800,000",968 sqft,7,Spotlight
itdeals,Gaming PC,S$688,Used,12,"Specs:   i7-4790 @ 3.60GHz 16GB Memory RAM 240GB SSD 1TB  HDD Intel HD 4600 Graphic NVIDIA P106-100 = GTX 1060 - 6GB DDR5 Graphic Windows 10 Pro 64 Bit  Dell Optiplex Tower 9020  Last set available only, grab it before it's gone !!!"
quroxcable,"Ubiquiti UniFi Video Camera, Dome, IR",S$149,New,16,"Ubiquiti UniFi Video Camera, Dome, IR, 3-Pack
 $699     High-Resolution Performance Featuring a wide-angle lens, the UniFi® Video Camera Dome provides 720p HD resolution at 30 FPS.  Versatile Day or Night Mode Great for day or night surveillance, the UniFi® Video Camera Dome includes infrared LEDs w"
micharle,Xiaomi portable aircon,S$50,New,69,"Hi all, due to overwhelming demand supplies was out for 1 week. Just received news from supplier stock has been replenish.  Item will be shipped directly to courier for dispatch to buyer’s address once order confirmed & payment is made.  -just refillable water without ice Best small mini cooler can "
inayatevmirza,900gb laptop hard disk,S$40,Computer Parts & Accessories,1,New Carouseller
occulus_lab,Maxtor M3 - 1TB (USB 3.0) External Hard Disk,S$75,New,22,New. Un-used & un-opened Got it as a gift
mangostinggo,"HP i5-4570TE 8GB new-256SSD 22""LED wifi",S$170 (U.P. S$170),Used,43,"[ price fixed ] Win10 activated ( but without MS office). new sandisk 256GB SSD. samsung S22D300HY. please note the screen have 3x small black dot, but not obversely. CPU rig =$170. CPU rig + LED =$200. [ deal at lakeside MRT, or, taman jurong S610157 ]"
pc_repair_sg,Laptop & Desktop Repair Service,S$40,"HOW IT WORKS:
 1. FREE Pickup Island Wide - Drop your PC off with us!
 2. We will diagnose your computer for $40 and quote you the follow-up servicing required
 3. If you accept, we will waive the $40 of the diagnostics fee
 4. Once the repair is done, collect your PC from us (or opt for home delive",78,Spotlight
thesteadyauction,5 Port HDMI Switcher,S$22,New, ,5 Port HDMI Switcher All 3D Format Future 4K Format
vader_86,Wifi extender booster,S$10,Used,5,Model: TL-WA850RE
gamingspecialist,3A 4187 (Brand New) Housmile Cordless Vacuum Cleaner 4 in 1 Powerful Suction Vacuum Cleaner with Multiple Brush Handheld Stick Vacuum for Hardwood Floor Carpet Pet Hair Purple,S$75,New,13,"💬 CHAT TO BUY WHEN YOU HAVE DECIDED ON PURCHASE.  -SELF COLLECTION/ REGISTERED DELIVERY ONLY. (Please arrange with us before coming, as item might not be available.)  ✅ Please kindly read through the description of product given. (Items are exact to picture listed, unless otherwise stated)   PS. I w"
define.pc,2 piece promo! Ryzen 5 3500 with gtx 1660 custom pc build! Grab yours now! Upgradeable to rtx 2060 2070 2080 or rx 5700 xt,S$999,New,11,INSTALMENT PLANS AVAILABLE Too for other builds!  Trade in your current pc for discount!  ====== Mode of Payment  - Cash on delivery/ self collect  - Bank transfer/ Paynow/ PayLah  - Credit Card - Instalment plans (contact separately for more details installment)  ======   Define Pc  Call: +65 9716 
cosmodroid,"Bed Bugs Killer, best BEDBUG SPRAY (free delivery)",S$71.50,"First, say no to ""camouflaging"" your house by using PESTICIDE when dealing with bed bugs, your house should by no means remain ""ORGANIC"" as what you do in purchasing organic products. This is a ""For General Use"" not a ""For Restricted Use"" product, it is neither a pesticide, not an insecticide, and i",397,Spotlight
myelecthub,Foot massager MK 70 Shiatsu,S$30,New, ,New in box 10/10 No warranty  Self collection only 
allthingsprettyyy,Sonos Play 1,S$180,As good as new  Comes with original box and original receipt ,6,New Carouseller
myfathershouse,Daikin Aircon Remote Control (bundle of 7),S$50,Used, ,Selling bundle of 7 just for $50 Each @$12 All working condition.
sinsengcomponents,"Solar IP Camera [Full-HD 1080P 2MP Wide-Angle CCTV Camera, Rechargeable 2PCS 18650 Batteries, 2-Way Audio, Loop-Recording, Multi-Users, Motion-Detection Push Notification, Built-in AP Hotspot, APP:i-Cam]",S$65,New,44,"About Us Established since 1971, Sinseng Components Pte Ltd is  Importer/Exporter/Distributor/Wholesaler of Security Surveillance CCTV Camera/Wireless IP Camera/Solar IP Camera System: Our Wide-Range of Brands & Products includes: •House Brand 7-STAR* Distributor: •Authorised VSTARCAM Distributor: •"
sinsengcomponents,"Door Access - Single Door Proximity RFID Card Access Control System with Keypad [125KHz] Optional:CCTV Camera, IP Camera",S$15,New,39,"About Us Established since 1971, Sinseng Components Pte Ltd is  Importer/Exporter/Distributor/Wholesaler of Security Surveillance CCTV Camera/Wireless IP Camera/Solar IP Camera System: Our Wide-Range of Brands & Products includes: •House Brand 7-STAR* Distributor: •Authorised VSTARCAM Distributor: •"
jerlyn90,Distributors wanted,S$273,"Are you affected by pandemic? Want to earn passive income at the comfort of your house?   Distributors wanted! We provide 1-1 guidance and training, along with product marketing materials.  Chat to know more.",2,Spotlight
bernicexxlim,Battery Charger,S$32,New, ,Brand New 
yeehaw.hoo,Transcend MTE110S NVMe PCIe Gen3 x4 3D TLC M.2 2280 SSD 256GB,S$66.50,New,17,"Sequential read up to 1,700MB/s Sequential write up to 800MB/s PCIe Gen3 x4 interface and NVMe standard engineered with LDPC (Low-Density Parity Check) coding to ensure data integrity Supports Transcend SSD Scope software Some motherboards only provide PCIe x2 connections for the M.2 slot, creating "
deniverse,4K Android TV Setup Box,S$50,Enjoy watching free movies and programmes on your 4K TV using this 4K Android TV box. Powered by Android 7. Nougat.  With RAM 1G DDR3 ROM 16GB Wifi 802.11 Ethernet RJ-45  Item is brand new and unused.,2,New Carouseller
hdb.upgrader,Looking for hdb or condo? How to spot the different for your advantage?,"S$358,000",990 sqft,1,Spotlight
it-solution,Targus Universal USB 3.0 DV4K Docking Station,S$399,New,1,•Dual DisplayPort (DP 1.2a) or Dual HDMI (HDMI 2.0) video or one of each  •Dual 4K Ultra HD video 4096x2160 60Hz (p60) 24 bpp with 6-Channel (5.1) Audio  •1 USB-C device port (USB 3.0 5Gbps data only) •1 Gigabit Ethernet port for wired connectivity  •4 USB 3.0 ports for the latest peripherals (1 BC1
axjunx0808,Small PlayStation bag,S$6,Used, ,Others
erragont,Airpods Pro,S$300,Used,14,Authentic Airpods Pro 10/10 condition only used once warranty unactivated looking for fast deal  preferably delivery due to covid now!
quroxcable,"Ubiquiti UniFi Video Camera, IR",S$229,New,6,"Ubiquiti UniFi Video Camera, IR, 3-pack $659   IP Camera with Infrared The UniFi® Video Camera is part of the UniFi Video surveillance management system. It records 720p HD video, day or night, indoors or outdoors.  Models: UVC  High-Resolution Performance The UniFi® Video Camera provides 720p HD r"
sgpacificmover,Sg pacific mover storage service ^87496117^,S$0,"Office move,Delivery,piano,disposal,storage  We use local and professional movers. Contact or WhatsApp: HP:86551611   website: sgpacificmover.com.sg Email:www.sgpacificmover@gmail.com Facebook: sg pacific mover   OUR SERVICES: - Home and Household Relocation - Office and warehouse Relocation  - Shop",265,Spotlight
melashoppe,BNIB Harman Kardon Citation One Speaker,S$128,New,22,Brand new sealed in box! Authentic Harman Kardon Product. Black in Colour.  Free delivery via Qxpress.
homelyhome,Ethernet Cables,S$2,Used, ,several Ethernet/LAN cables ranging from 30cm to 2m  $2 per cable
kilious,KEF LSX (Black),"S$1,300",Used,2,1.5 years old. Fixed price. Condition still mint. No scratches or dent Under utilized. Hence selling away. Comes with box.  Can come and test before purchase.
29squares,BaoFeng BF-888S Walkie Talkie 2pcs in One Box with Rechargeable Battery,S$39,"Baofeng BF-888S 16-Channel UHF 400-470MHz Walkie Talkie Pair 2-Way FM Radio Rechargeable Transceiver 3 Kilometer Range  Range of 3 Kilometers - Baofeng BF-888S has a maximum range of 3 kilometers, and offers clear sound quality. Never lose touch with your team members, friends and family! Smart Inte",1,New Carouseller
wenherb,Apple MacBook Pro,S$500,Used,2,MacBook Pro 13inch 2011 Processor i5 Ram 8gb Disk 512mb Collect punggol Price include charger
articulator,HiFi system,"S$1,200",Used,10,"HIFI SYSTEM SET WITH THE FOLLOWING: - Q-Accoustic 2020i Gloss White bookshelf speakers - Rotel XRT RA-10 Amplifier, Silver color - Marantz CD6004 CD player - Denon DNP720AE digital network player (for airplay)  Audiophile-desired quality sound at an affordable price.  In perfectly run-in and mint co"
yiyunmobile,"iPhone Battery Repair, iPhone Repair, Battery Replacement",S$0,"✳️ iPhone Repair, Battery Replacement
 Original Grade iPhone Battery Repair
 
 YIYUN Mobile iPhone Repair 
 📍Jurong📍Kovan📍Orchard📍Woodland
 
 SG trusted Phone Repair since 2011
 ✴ Free diagnosis ✴ Nett prices 
 ✴ Same day repair - Visit, repair, collect!
 
 ➖➖➖➖➖➖➖➖➖➖➖➖➖➖
 
 ✅ Fast turnaround time
 ",116,Spotlight
just_be_honest,"Noise Cancelling Headphones, Boltune Bluetooth 5.0 Wireless Over Ear Headset with Hi-Fi Deep Bass, 30 Hrs Playtime Bluetooth Headphones with CVC 8.0 Mic for Travel Work TV PC Cellphone",S$50,New,3,"Features & details Latest AMS AS3435 noise cancelling technology: cancelling the noises in just one second No matter when and where you are. Boltune active noise cancelling headphones can reduce the noise with the upgrade active noise cancelling technology, even when you are at a busy street, flight"
jimbono1976,BMB Used Karaoke Speakers CS 251v👍Clearance non nego Fast deal il giv $80nett!!still good to go not for fussy just exterior bit scratches paint dust etc but sound stil gd last test 1wk ago.Alrdy pack with plastic wrap fr collection at toa payoh area,S$99.99,Used,11,Audio
fatbudgetboy,"6286) ESR USB C Cable, Type C to USB 3.0 Cable (6.6 ft), Braided Nylon Fast Charger Cable for iPad Pro 2020/2018, Samsung S20/S20+/S20 Ultra/S10/Note10, MacBook & Other USB Type-C Devices, Grey",S$12,New,6,"#6286  [Fast Charging and Sync]: Transfer speed up 5 Gbps and support for 3A Fast Charge. Charge 40% faster and transfer files up to 800% faster than USB 2.0. USB 3.0 cables are backwards compatible with USB 2.0 devices. [Built-to-Last]: Made with a braided-nylon cover, aluminum plug casings, intern"
pdsung,3900X + 5700XT + U4919DW - WFH full setup,"S$4,200",Used,6,"Desktop: bought it on March 2020, with 3 years warranty - S$ 2600  AMD Ryzen 9 3900X Processor ASUS ROG STRIX X570-E GAMING Motherboard ADATA XPG SPECTRIX D41 16GB (2x8GB) DDR4-3200 RAM ASUS ROG STRIX Radeon RX5700 XT 8GB Graphics Card ADATA XPG SX8200 Pro 512GB M.2 NVMe SSD Superflower Leadex III 7"
irepairsg,iPhone screen repair Samsung s9 s8 repair singapore,S$0,Call / SMS / Whatsapp: 9004 5175  iRepair  Singapore  Award winning Mobile Repair Singapore  Why choose us? CaseTrust Accreditation – Only mobile repair in Singapore  •	3000+ facebook reviews :  www.facebook.com/irepairsg  Worried about your data and parts? we do it face2face. your personal data and,31,Spotlight
omysell,"TaoTronics Headphones Hybrid Active Noise Cancelling, Bluetooth Headphones Over Ear Headphones Headset with Deep Bass, Fast Charge 30 Hour Playtime for Travel Work TV PC Cellphone",S$69,New,1,Selling Cheap! Amazon.sg selling at S$99.99  https://www.amazon.sg/TaoTronics-Cancelling-Headphones-Bluetooth-Cellphone/dp/B07ZPXRF6K/ref=asc_df_B07ZPXRF6K/?tag=googleshoppin-22&linkCode=df0&hvadid=396170102331&hvpos=&hvnetw=g&hvrand=5566508380446232844&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvloc
wcssingapore,TP Link AV1000 Gigabit Powerline ac Wi-Fi Kit TL-WPA7510 KIT Offer Price,S$110,"Homeplug AV2 standard compliant - High-speed data transfer rates of up to 1000Mbps, supports all your online needs Dual-band 802.11ac Wi-Fi – Extends 2.4GHz (300Mbps) + 5GHz (433Mbps) dual-band Wi-Fi speeds to every room of your house Wi-Fi Auto-Sync - Simple setup with Wi-Fi Clone and setting in sy",1,New Carouseller
mondecoinmetier,Monster Cable Interlink Reference 2.,S$70,New,6,This a BRAND NEW Monster Cable Interlink Reference 2.   LENGTH : 1m  PRICE  QUOTED HERE IS FIXED. NON-NEGOTIABLE   Payment terms:       - Cash Only      Self-collect @ Woodlands         Return Policy: All Sales are Final! No Exchange or Refunds.  NOTE:  I reserve the rights to relist my item for sal
jjengers,Harman Kardon Citation One BNIP,S$130,New,3,"Lowest price on here according to what I’ve seen! Totally brand new, even still has the plastic wrapping. PM me if you need more pics. "
desmoman,Synology DS1815+,S$650,Used,18,Synology NAS that has been a market leader for many years. This unit has large capacity options especially with expansion units.  Currently has 2x Intel ssd for cache and 6x WD NAS HDD (mix of 2/3TB drives) sold separately. 6GB memory upgrade. Device new in Oct 2018  Full review and specs here   htt
thejoyland,Safety Gate for Kids or Pets,S$38.50,"2 way auto lock system  Pressure Mount Gate, No Drilling Required !  Overseas orders welcome Main Gate: $38.50 For wider length, extension needed.  8 sizes extensions to add on upto 300cm+:7cm.14cm.21cm.28cm.35cm.42cm.49cm.56cm. -54cm opening -The Essential Tool To Safeguard Your Child & pet In The ",1002,Spotlight
ando,2x Kingston HyperX FURY 8GB 1600MHz DDR3 CL10 DIMM,S$90,Used, ,2x Kingston HyperX FURY 8GB 1600MHz DDR3 CL10 DIMM - Blue (HX316C10F/8)  I am selling both for $90
justubes,Solid wood hifi rack,S$275,Used,2,Solid wood 3 tier rack.  Good condition
anakabdullah,JBL waterproof speaker ,S$120,still looking good as I’ve only used it few times only ( it comes without the whole set or box ) just selling the speaker only ,2,New Carouseller
mariamariana.jamil,Top achievements awards. Speak with me to get help in your property needs!,"S$388,888",888 sqft,21,Spotlight
